College Name,Courses,2022,2023,2024
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Mechanical Engineering,,,
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Electronics and Communication Engineering,,,
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,Chemical Engineering,,,
Indian Institute of Information Technology Kota,Computer Science Enginnering,18008,19195,22179
Indian Institute of Information Technology Kota,Electrical Engineering,,,
Indian Institute of Information Technology Kota,Mechanical Engineering,,,
Indian Institute of Information Technology Kota,Electronics and Communication Engineering,23166,26253,29951
Indian Institute of Information Technology Kota,Chemical Engineering,,,
Indian Institute of  Information Technology Bhubaneswar ,Computer Science Enginnering,20543,23164,26805
Indian Institute of  Information Technology Bhubaneswar ,Electrical Engineering,34445,33183,35997
Indian Institute of  Information Technology Bhubaneswar ,Mechanical Engineering,,,
Indian Institute of  Information Technology Bhubaneswar ,Electronics and Communication Engineering,31587,31194,34295
Indian Institute of  Information Technology Bhubaneswar ,Chemical Engineering,,,
Institute of Engineering and Technology Lucknow,Computer Science Enginnering,7521,8697,8941
Institute of Engineering and Technology Lucknow,Electrical Engineering,,,
Institute of Engineering and Technology Lucknow,Mechanical Engineering,,,
Institute of Engineering and Technology Lucknow,Electronics and Communication Engineering,,,
Institute of Engineering and Technology Lucknow,Chemical Engineering,,,
Indian Institute of  Information Technology Kottayam,Computer Science Enginnering,28072,27801,31235
Indian Institute of  Information Technology Kottayam,Electrical Engineering,,,
Indian Institute of  Information Technology Kottayam,Mechanical Engineering,,,
Indian Institute of  Information Technology Kottayam,Electronics and Communication Engineering,29514,32170,34561
Indian Institute of  Information Technology Kottayam,Chemical Engineering,,,
Visvesvaraya National Institute of Technology Nagpur ,Computer Science Enginnering,21525,22917,24711
Visvesvaraya National Institute of Technology Nagpur ,Electrical Engineering,,,
Visvesvaraya National Institute of Technology Nagpur ,Mechanical Engineering,,,
Visvesvaraya National Institute of Technology Nagpur ,Electronics and Communication Engineering,29765,30978,33090
Visvesvaraya National Institute of Technology Nagpur ,Chemical Engineering,,,
Indian Institute of  Information Technology Pune,Computer Science Enginnering,13360,14966,16245
Indian Institute of  Information Technology Pune,Electrical Engineering,,,
Indian Institute of  Information Technology Pune,Mechanical Engineering,,,
Indian Institute of  Information Technology Pune,Electronics and Communication Engineering,18656,18945,21401
Indian Institute of  Information Technology Pune,Chemical Engineering,,,
Indian Institute of  Information Technology  Ranchi,Computer Science Enginnering,26462,28160,29136
Indian Institute of  Information Technology  Ranchi,Electrical Engineering,,,
Indian Institute of  Information Technology  Ranchi,Mechanical Engineering,,,
Indian Institute of  Information Technology  Ranchi,Electronics and Communication Engineering,33585,33641,35387
Indian Institute of  Information Technology  Ranchi,Chemical Engineering,,,
Indian Institute of  Information Technology  Una,Computer Science Enginnering,21897,23017,25680
Indian Institute of  Information Technology  Una,Electrical Engineering,,,
Indian Institute of  Information Technology  Una,Mechanical Engineering,,,
Indian Institute of  Information Technology  Una,Electronics and Communication Engineering,30308,30755,32781
Indian Institute of  Information Technology  Una,Chemical Engineering,,,
Indian Institute of  Information Technology  Vadodara,Computer Science Enginnering,16490,18145,19417
Indian Institute of  Information Technology  Vadodara,Electrical Engineering,,,
Indian Institute of  Information Technology  Vadodara,Mechanical Engineering,,,
Indian Institute of  Information Technology  Vadodara,Electronics and Communication Engineering,,,
Indian Institute of  Information Technology  Vadodara,Chemical Engineering,,,
Indian Institute of  Information Technology  Surat,Computer Science Enginnering,16851,18314,21232
Indian Institute of  Information Technology  Surat,Electrical Engineering,,,
Indian Institute of  Information Technology  Surat,Mechanical Engineering,,,
Indian Institute of  Information Technology  Surat,Electronics and Communication Engineering,24315,25642,29048
Indian Institute of  Information Technology  Surat,Chemical Engineering,,,
Indian Institute of  Information Technology  Sonepat,Computer Science Enginnering,17080,20515,25246
Indian Institute of  Information Technology  Sonepat,Electrical Engineering,,,
Indian Institute of  Information Technology  Sonepat,Mechanical Engineering,,,
Indian Institute of  Information Technology  Sonepat,Electronics and Communication Engineering,,,
Indian Institute of  Information Technology  Sonepat,Chemical Engineering,,,
National Institute of Technology Mizoram ,Computer Science Enginnering,22956,23850,28174
National Institute of Technology Mizoram ,Electrical Engineering,38174,38576,42564
National Institute of Technology Mizoram ,Mechanical Engineering,41844,42862,45177
National Institute of Technology Mizoram ,Electronics and Communication Engineering,31118,33026,36437
National Institute of Technology Mizoram ,Chemical Engineering,,,
National Institute of Technology Nagaland ,Computer Science Enginnering,24409,22998,27265
National Institute of Technology Nagaland ,Electrical Engineering,39812,36870,41843
National Institute of Technology Nagaland ,Mechanical Engineering,43381,41952,46956
National Institute of Technology Nagaland ,Electronics and Communication Engineering,32967,31705,34582
National Institute of Technology Nagaland ,Chemical Engineering,,,
Indian Institute of  Information Technology Manipur,Computer Science Enginnering,35437,36456,42798
Indian Institute of  Information Technology Manipur,Electrical Engineering,,,
Indian Institute of  Information Technology Manipur,Mechanical Engineering,,,
Indian Institute of  Information Technology Manipur,Electronics and Communication Engineering,40841,42135,48388
Indian Institute of  Information Technology Manipur,Chemical Engineering,,,
Indian Institute of  Information Technology  Kalyani,Computer Science Enginnering,28928,30635,34475
Indian Institute of  Information Technology  Kalyani,Electrical Engineering,,,
Indian Institute of  Information Technology  Kalyani,Mechanical Engineering,,,
Indian Institute of  Information Technology  Kalyani,Electronics and Communication Engineering,33282,34949,37376
Indian Institute of  Information Technology  Kalyani,Chemical Engineering,,,
Indian Institute of  Information Technology  Tiruchirappalli,Computer Science Enginnering,18981,21868,22420
Indian Institute of  Information Technology  Tiruchirappalli,Electrical Engineering,,,
Indian Institute of  Information Technology  Tiruchirappalli,Mechanical Engineering,,,
Indian Institute of  Information Technology  Tiruchirappalli,Electronics and Communication Engineering,28533,28798,28407
Indian Institute of  Information Technology  Tiruchirappalli,Chemical Engineering,,,
Indian Institute of  Information Technology  Bhopal,Computer Science Enginnering,20448,21726,21419
Indian Institute of  Information Technology  Bhopal,Electrical Engineering,,,
Indian Institute of  Information Technology  Bhopal,Mechanical Engineering,,,
Indian Institute of  Information Technology  Bhopal,Electronics and Communication Engineering,29047,29537,31496
Indian Institute of  Information Technology  Bhopal,Chemical Engineering,,,
Indian Institute of  Information Technology  Bhagalpur,Computer Science Enginnering,30526,32166,34146
Indian Institute of  Information Technology  Bhagalpur,Electrical Engineering,,,
Indian Institute of  Information Technology  Bhagalpur,Mechanical Engineering,,,
Indian Institute of  Information Technology  Bhagalpur,Electronics and Communication Engineering,35311,35538,38074
Indian Institute of  Information Technology  Bhagalpur,Chemical Engineering,,,
National Institute of Technology Tiruchirappalli ,Computer Science Enginnering,759,1147,1019
National Institute of Technology Tiruchirappalli ,Electrical Engineering,5604,5422,5244
National Institute of Technology Tiruchirappalli ,Mechanical Engineering,8445,9211,8405
